Date,Open,High,Low,Close,Volume
2000-02-29,23.4521,24.5546,19.1276,20.9993,100852835.3286
2000-03-31,20.9775,27.4855,20.1494,26.6003,127379099.41063
2000-04-30,26.5246,27.8858,22.505,23.6832,84526994.867974
2000-05-31,23.8425,26.1282,21.8263,22.3408,118493931.54736
2000-06-30,22.0939,23.5878,18.4872,20.6716,179897830.076
2000-07-31,20.4446,22.7597,20.0677,20.6716,117167926.67369
2000-08-31,20.532,22.7597,15.4374,16.5625,158759057.88163
2000-09-30,16.6078,19.9941,16.4258,18.2984,137203499.2048
2000-10-31,18.748,19.9941,15.8426,19.7286,131500791.43581
2000-11-30,19.3656,21.8696,17.8107,21.5047,115854479.71962
2000-12-31,21.9994,24.3285,19.2278,23.0725,159946027.84656
2001-01-31,23.3479,27.6232,23.2121,27.1708,158353427.21602
2001-02-28,27.1708,28.3766,23.6616,27.9429,121660393.02898
2001-03-31,27.1581,28.3059,23.3932,25.8528,149188576.96459
2001-04-30,26.5138,28.6628,24.0048,27.5514,105687401.53836
2001-05-31,27.5593,28.9775,26.383,27.1226,117128654.57875
2001-06-30,27.2672,27.6232,24.6117,24.832,89392169.418085
2001-07-31,25.0484,27.7688,23.3135,27.7688,108534518.10362
2001-08-31,27.6232,28.6972,24.7494,24.9018,99665842.995098
2001-09-30,25.0484,25.5991,18.685,22.8188,99217257.554219
2001-10-31,22.9671,25.1506,20.6963,22.383,124033381.27778
2001-11-30,22.5276,27.8426,21.9542,27.0135,102917338.60269
2001-12-31,26.6652,30.0417,25.2746,29.5381,110862002.57671
2002-01-31,29.5381,31.9872,28.1396,31.9625,111216929.7904
2002-02-28,31.5926,33.2549,28.9922,30.1942,116506037.58168
2002-03-31,30.8098,32.5752,29.365,31.0694,105603368.91435
2002-04-30,30.4469,33.1448,29.4182,31.456,98755294.690606
2002-05-31,31.8573,32.952,28.3766,29.9119,110122967.33057
2002-06-30,29.7741,30.2807,25.2499,27.4915,123020133.77605
2002-07-31,27.3498,28.5034,21.2972,24.0677,124894357.77674
2002-08-31,23.5515,27.1807,21.7152,24.7179,171663947.58492
2002-09-30,24.2192,27.1089,20.3097,21.3385,142298757.90196
2002-10-31,20.6786,23.8711,17.9985,21.7732,219307901.48233
2002-11-30,21.7575,25.6277,21.3975,25.1821,141429483.67959
2002-12-31,26.4312,26.8699,20.0009,21.723,158640855.23057
2003-01-31,22.0122,22.8767,19.0794,20.4336,137359877.89077
2003-02-28,20.5891,21.0542,18.7686,20.7917,124572666.19384
2003-03-31,20.9019,22.4115,18.5826,21.2353,144310476.4302
2003-04-30,21.1556,24.5989,20.6835,24.2714,135697570.68975
2003-05-31,24.0245,26.8699,23.4521,26.5845,151260794.34572
2003-06-30,26.5845,28.1051,26.2296,27.4649,97222199.545017
2003-07-31,27.4649,28.9854,26.7892,27.8111,87406332.344262
2003-08-31,27.7353,29.5381,26.9623,29.4673,107374107.76753
2003-09-30,29.6119,30.3378,26.6722,27.3144,127157538.70622
2003-10-31,27.3144,29.6935,27.2987,28.8438,97670386.418616
2003-11-30,29.0316,29.3945,27.0026,28.1051,100853707.7029
2003-12-31,28.3059,29.2127,26.2669,27.8711,124106529.55807
2004-01-31,27.9094,28.6687,26.5845,27.5514,120878088.8308
2004-02-29,27.6143,32.4258,27.6095,31.9045,123329606.01819
2004-03-31,32.0511,33.9738,30.1803,32.6894,135164756.39148
2004-04-30,32.2261,33.1044,30.8019,31.4757,93046065.466157
2004-05-31,31.4471,32.7061,30.2807,32.4415,112010258.64425
2004-06-30,32.3353,34.4026,29.8883,30.8237,126560410.6968
2004-07-31,31.0627,32.53,29.3858,31.6448,134154993.3032
2004-08-31,31.8249,32.653,29.0561,32.3559,118834377.14427
2004-09-30,32.3206,34.0387,32.2457,32.8398,88938847.940488
2004-10-31,32.8398,36.4788,32.8398,36.3048,106263320.07463
